I_q1_15	I_q2_15	Q_q1_15	Q_q2_15
3.52167e+11	-5.91159e+10	-3.45953e+11	-4.01275e+11
-1.91411e+11	-1.54435e+11	-3.91101e+11	6.28147e+10
-1.38098e+11	2.56214e+11	-2.27983e+11	-1.60605e+11
9.89448e+10	2.11402e+11	-8.99129e+10	-1.71407e+11
2.01325e+11	-2.13965e+11	-2.97636e+11	-1.76338e+11
-7.01472e+10	-2.58964e+10	6.60267e+10	-7.95487e+10
2.53207e+11	4.62752e+11	-4.08803e+11	-1.54267e+11
-4.82444e+10	-1.18494e+11	-3.69887e+11	-1.64011e+11
6.11149e+10	-5.95849e+10	-2.25217e+11	-6.98734e+10
-4.11201e+10	-2.39291e+11	-4.79221e+11	-8.47295e+10
-9.55507e+10	5.30236e+11	-8.75443e+10	-3.89192e+11
-7.55202e+10	5.24107e+11	-1.32794e+11	-1.44497e+11
-2.60897e+11	5.99369e+10	-1.56631e+11	-3.16556e+11
1.01571e+11	2.29122e+11	-2.84789e+11	-1.36723e+11
3.16841e+11	-1.70061e+11	3.71281e+10	-1.79124e+11
1.86453e+11	-2.29634e+11	-1.14892e+11	-4.29302e+09
-1.26764e+11	-2.08465e+11	-1.24737e+11	-4.09167e+10
-2.19472e+11	2.31205e+11	-1.93183e+11	-2.1441e+11
-1.46654e+11	3.6731e+11	-2.54622e+11	-9.08662e+10
1.37591e+11	7.33167e+11	-1.51463e+11	-3.78788e+10
3.5568e+11	3.27192e+11	-9.09701e+10	-9.96102e+10
-1.92899e+10	-2.48167e+11	-2.60624e+11	-1.42199e+11
1.61502e+11	3.45064e+11	-4.06233e+11	-1.61096e+11
-9.8395e+10	1.68953e+10	-2.59626e+11	-1.69317e+11
2.27302e+10	7.86845e+10	7.97775e+10	-5.6139e+10
3.65259e+11	4.97403e+11	5.71933e+10	2.35677e+11
1.47257e+11	2.73024e+11	-4.2031e+10	2.49089e+11
-9.54021e+10	-2.15702e+11	-1.72463e+11	-1.18164e+11
2.1499e+11	3.91397e+11	-2.81436e+11	-1.16162e+11
-2.44789e+10	-2.02987e+11	-3.05448e+11	-1.39926e+11
